glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,mean_intensity,variance,entropy,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,region_area,region_perimeter,major_axis_length,minor_axis_length,label,class
103.53272,0.9887308,0.5048848,0.6016094,52.237,4586.3755,7.3437233,0.0030975342,0.011077881,0.013549805,0.07803345,0.22001648,0.09654236,0.028152466,0.013046265,0.52153015,0.014953613,17435.0,3801.1628,229.15857,180.83585,0,Control
82.40968,0.9879869,0.4885825,0.5950151,49.73056,3426.292,7.303995,0.0032958984,0.01335144,0.013442993,0.07763672,0.21759033,0.10343933,0.030181885,0.015563965,0.5075531,0.017944336,22009.0,3809.1516,228.95683,190.13535,0,Control
78.85861,0.9900459,0.5533157,0.6424404,47.29767,3954.4155,6.5654097,0.0031433105,0.010620117,0.012832642,0.070388794,0.19392395,0.085739136,0.025604248,0.012863159,0.5709381,0.013946533,19137.0,3250.026,225.96524,175.738,0,Control
67.80858,0.9890587,0.5075919,0.6169715,46.591873,3095.1482,6.941715,0.0038757324,0.013168335,0.011520386,0.0736084,0.20552063,0.1006012,0.031021118,0.015670776,0.52674866,0.01826477,21811.0,3586.4827,233.95322,184.16582,0,Control
84.60827,0.9905801,0.4908565,0.59156656,59.73497,4487.384,7.251327,0.0040130615,0.013641357,0.014389038,0.07475281,0.22155762,0.099975586,0.030212402,0.015075684,0.5097046,0.016677856,24350.0,3248.4817,229.89517,189.8227,0,Control
76.79706,0.98836154,0.5005507,0.6056779,47.896027,3295.3845,7.107961,0.0040283203,0.01322937,0.012908936,0.07408142,0.21289062,0.09994507,0.029083252,0.015686035,0.52056885,0.017578125,23574.0,3360.233,234.5171,183.4921,0,Control
51.767033,0.9900577,0.54039377,0.6344905,39.39142,2599.2905,6.5929112,0.0038146973,0.011352539,0.012542725,0.06819153,0.1986084,0.09020996,0.028152466,0.013168335,0.5584564,0.01550293,18971.0,3592.359,220.91425,179.15152,0,Control
90.70628,0.98953307,0.5137309,0.5923367,52.810883,4326.9937,7.246527,0.0038452148,0.011367798,0.0138549805,0.077056885,0.21582031,0.09527588,0.026412964,0.012771606,0.52864075,0.014953613,20370.0,3938.7742,224.91492,187.84727,0,Control
81.85141,0.98880816,0.5259594,0.6196786,47.004883,3651.1252,6.9284153,0.003479004,0.01133728,0.0128479,0.074798584,0.20666504,0.09083557,0.027130127,0.0138549805,0.5439911,0.015060425,20367.0,3439.1567,221.49707,180.31343,0,Control
87.92671,0.9893853,0.52906704,0.6091731,49.015717,4134.987,6.9920344,0.0036010742,0.012008667,0.013198853,0.07286072,0.21231079,0.08657837,0.026138306,0.012710571,0.5453644,0.0152282715,20166.0,3649.4714,232.27687,170.91011,0,Control
37.664738,0.9884956,0.50801104,0.6467107,32.732895,1634.7804,6.511746,0.0028839111,0.012084961,0.011016846,0.07211304,0.19515991,0.10609436,0.033218384,0.017974854,0.53227234,0.017181396,22706.0,3298.0442,230.29756,183.40652,0,Control
81.04032,0.9904753,0.55737454,0.63730586,49.6631,4247.271,6.5715294,0.0040740967,0.012130737,0.013305664,0.069610596,0.18754578,0.08641052,0.02609253,0.012359619,0.5731659,0.015304565,19556.0,3393.837,219.81386,173.47133,0,Control
65.78376,0.98969686,0.5074162,0.60837424,47.242203,3188.6956,6.98677,0.0039367676,0.012893677,0.01399231,0.07345581,0.20927429,0.0975647,0.031311035,0.014846802,0.5259857,0.016738892,21771.0,3438.973,222.30086,187.06479,0,Control
62.479137,0.98901314,0.5028665,0.60540015,43.774017,2839.759,7.0232587,0.003616333,0.012771606,0.013000488,0.078948975,0.2089386,0.09927368,0.030136108,0.015213013,0.52134705,0.01675415,22880.0,3466.9324,230.36617,185.15883,0,Control
74.89148,0.9901817,0.5267364,0.6012259,49.16249,3808.4482,6.9937897,0.0039367676,0.011886597,0.015899658,0.076812744,0.203125,0.0927887,0.026321411,0.012329102,0.54289246,0.014007568,19255.0,3725.3354,219.3018,182.00761,0,Control
75.35539,0.98779154,0.5345122,0.63771486,42.638412,3081.2688,6.65365,0.0030822754,0.010726929,0.0113220215,0.07170105,0.20011902,0.092544556,0.028701782,0.014190674,0.5535431,0.0140686035,21125.0,3147.8594,226.51137,175.6132,0,Control
95.203156,0.9878559,0.5144947,0.60020226,50.73314,3914.5237,7.088279,0.004119873,0.0124053955,0.014572144,0.07699585,0.21099854,0.089157104,0.027923584,0.014022827,0.53266907,0.01713562,22445.0,3244.3862,231.22173,176.4729,0,Control
75.05852,0.9913046,0.49852458,0.5970911,55.20317,4311.072,7.255759,0.0037841797,0.011459351,0.014038086,0.07723999,0.21855164,0.09992981,0.028915405,0.013458252,0.5167999,0.015823364,22469.0,3555.7607,230.4196,189.46452,0,Control
84.754906,0.98992103,0.5160128,0.6053801,51.295273,4198.437,7.1018243,0.0036010742,0.012207031,0.013397217,0.07168579,0.21575928,0.09370422,0.02911377,0.012908936,0.53253174,0.015090942,20856.0,3380.8604,232.47691,180.8654,0,Control
97.78248,0.98901176,0.48673478,0.5851393,55.516846,4444.131,7.476314,0.003921509,0.0132751465,0.015060425,0.07929993,0.22306824,0.096847534,0.031234741,0.014465332,0.5052185,0.017608643,21833.0,3846.034,230.57297,184.54422,0,Control
42.469456,0.98694295,0.5086685,0.62763846,31.48442,1623.8396,6.7099185,0.0030975342,0.011077881,0.011077881,0.0712738,0.20767212,0.102874756,0.029815674,0.015167236,0.52986145,0.018081665,19801.0,4061.5913,216.31934,186.72755,0,Control
73.17099,0.99060714,0.51817816,0.6123198,48.858368,3889.168,7.0274653,0.0035705566,0.011413574,0.012908936,0.07246399,0.2142334,0.09458923,0.02923584,0.012710571,0.53419495,0.014678955,20498.0,3470.2988,235.0687,177.29585,0,Control
25.154228,0.98686963,0.4990817,0.650935,24.406189,956.459,6.447908,0.0034484863,0.011627197,0.010528564,0.07206726,0.19454956,0.109451294,0.034576416,0.018539429,0.52719116,0.01802063,21407.0,3833.6077,228.61081,184.96268,0,Control
75.15748,0.98987097,0.5190803,0.60509634,48.167236,3704.6028,7.0737195,0.002960205,0.009994507,0.013961792,0.076660156,0.2156372,0.09498596,0.0259552,0.011581421,0.53471375,0.013549805,18693.0,3862.9395,218.57774,182.03746,0,Control
85.77631,0.9900038,0.4995417,0.59959394,53.260086,4284.818,7.2625356,0.0036621094,0.012969971,0.014022827,0.08018494,0.21022034,0.098480225,0.030181885,0.015472412,0.5181427,0.016662598,21974.0,3638.778,232.22989,187.28267,0,Control
75.893845,0.98978394,0.508693,0.6077014,49.637558,3709.5886,7.102716,0.0033721924,0.012588501,0.012771606,0.0736084,0.21174622,0.097732544,0.028457642,0.014724731,0.5275116,0.017486572,21192.0,3721.6492,230.43242,187.10931,0,Control
